"","Kingdom","taxstring","ASV","Family2"
"ASV101","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV101","Rhodobacteraceae"
"ASV104","Bacteria","Bacteroidota_;Bacteroidia_;Flavobacteriales_;Flavobacteriaceae_;Winogradskyella_;NA","ASV104","Flavobacteriaceae"
"ASV11","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Marisediminitalea_;Marisediminitalea aggregata(RS_GCF_900129565_1)","ASV11","Alteromonadaceae"
"ASV113","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Halomonadaceae_;Halomonas_;NA","ASV113","Halomonadaceae"
"ASV114","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Vibrionaceae_;Photobacterium_;NA","ASV114","Vibrionaceae"
"ASV114.1","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Vibrionaceae_;Photobacterium_;NA","ASV114.1","Vibrionaceae"
"ASV139","Bacteria","Bacteroidota_;Bacteroidia_;NA_;NA_;NA_;NA","ASV139","Bacteroidia-unknown"
"ASV14","Bacteria","Proteobacteria_;Alphaproteobacteria_;Sphingomonadales_;Sphingomonadaceae_;Sphingobium_;NA","ASV14","Sphingomonadaceae"
"ASV150","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Marisediminitalea_;Marisediminitalea aggregata(RS_GCF_900129565_1)","ASV150","Alteromonadaceae"
"ASV151","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;NA_;NA","ASV151","Alteromonadaceae"
"ASV151.1","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;NA_;NA","ASV151.1","Alteromonadaceae"
"ASV152","Bacteria","Actinobacteriota_;Actinomycetia_;Mycobacteriales_;Mycobacteriaceae_;Dietzia_;Dietzia psychralcaliphila(RS_GCF_003096095_1)","ASV152","Mycobacteriaceae"
"ASV17","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV17","Rhodobacteraceae"
"ASV17.1","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV17.1","Rhodobacteraceae"
"ASV18","Bacteria","Bacteroidota_;Bacteroidia_;NA_;NA_;NA_;NA","ASV18","Bacteroidia-unknown"
"ASV19","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Vibrionaceae_;Photobacterium_;NA","ASV19","Vibrionaceae"
"ASV20","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV20","Rhodobacteraceae"
"ASV20.1","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV20.1","Rhodobacteraceae"
"ASV206","Bacteria","Planctomycetota_;Planctomycetes_;Pirellulales_;Pirellulaceae_;NA_;NA","ASV206","Pirellulaceae"
"ASV24","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Pseudomonadaceae_;NA_;NA","ASV24","Pseudomonadaceae"
"ASV26","Bacteria","Proteobacteria_;Alphaproteobacteria_;UBA8366_;GCA-2696645_;RKSG073_;RKSG073 sp009711445(RS_GCF_009711445_1)","ASV26","GCA-2696645"
"ASV3","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Pseudoalteromonas_;NA","ASV3","Alteromonadaceae"
"ASV3.1","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Pseudoalteromonas_;NA","ASV3.1","Alteromonadaceae"
"ASV32","Bacteria","Proteobacteria_;NA_;NA_;NA_;NA_;NA","ASV32","Proteobacteria-unknown"
"ASV33","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV33","Rhodobacteraceae"
"ASV34","Bacteria","Bacteroidota_;Bacteroidia_;Flavobacteriales_;Flavobacteriaceae_;NA_;NA","ASV34","Flavobacteriaceae"
"ASV36","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Pseudoalteromonas_;NA","ASV36","Alteromonadaceae"
"ASV37","Bacteria","Planctomycetota_;Planctomycetes_;Pirellulales_;Pirellulaceae_;NA_;NA","ASV37","Pirellulaceae"
"ASV38","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV38","Rhodobacteraceae"
"ASV39","Bacteria","Planctomycetota_;Phycisphaerae_;NA_;NA_;NA_;NA","ASV39","Phycisphaerae-unknown"
"ASV43","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV43","Rhodobacteraceae"
"ASV43.1","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV43.1","Rhodobacteraceae"
"ASV44","Bacteria","Proteobacteria_;Gammaproteobacteria_;NA_;NA_;NA_;NA","ASV44","Gammaproteobacteria-unknown"
"ASV48","Bacteria","Proteobacteria_;Gammaproteobacteria_;Francisellales_;Francisellaceae_;Francisella_;NA","ASV48","Francisellaceae"
"ASV5","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Alteromonas_;NA","ASV5","Alteromonadaceae"
"ASV5.1","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Alteromonas_;NA","ASV5.1","Alteromonadaceae"
"ASV59","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhizobiales_;Rhizobiaceae_;NA_;NA","ASV59","Rhizobiaceae"
"ASV61","Bacteria","Proteobacteria_;Gammaproteobacteria_;NA_;NA_;NA_;NA","ASV61","Gammaproteobacteria-unknown"
"ASV64","Bacteria","Proteobacteria_;Alphaproteobacteria_;Rhodobacterales_;Rhodobacteraceae_;NA_;NA","ASV64","Rhodobacteraceae"
"ASV68","Bacteria","Bacteroidota_;Bacteroidia_;NA_;NA_;NA_;NA","ASV68","Bacteroidia-unknown"
"ASV68.1","Bacteria","Bacteroidota_;Bacteroidia_;NA_;NA_;NA_;NA","ASV68.1","Bacteroidia-unknown"
"ASV8","Bacteria","Bacteroidota_;Bacteroidia_;Flavobacteriales_;Flavobacteriaceae_;Winogradskyella_;NA","ASV8","Flavobacteriaceae"
"ASV81","Bacteria","Bacteroidota_;Bacteroidia_;Flavobacteriales_;Flavobacteriaceae_;Muricauda_;Muricauda sp004804315(RS_GCF_004804315_1)","ASV81","Flavobacteriaceae"
"ASV9","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Halomonadaceae_;Halomonas_;NA","ASV9","Halomonadaceae"
"ASV9.1","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Halomonadaceae_;Halomonas_;NA","ASV9.1","Halomonadaceae"
"ASV90","Bacteria","Proteobacteria_;Alphaproteobacteria_;Sphingomonadales_;Emcibacteraceae_;Emcibacter_A_;NA","ASV90","Emcibacteraceae"
